,clusters,x,y,Cluster_count,Fx,Fy,magnitude
198,197,-867.2205812133072,-3296.1502935420745,511,-857969.88014,7107.797220000002,857999.3216831624
199,198,-1793.8907142857145,-1730.0998571428572,70,-7497.273799999999,28122.9774,29105.170885481453
200,199,-3257.1216666666664,-1316.0553333333335,30,-175486.054,149427.886,230486.54681547015
201,200,-2572.615084745763,2649.2486440677967,59,-123441.9339,-83030.3725,148768.12092132078
202,201,-2680.484328358209,2587.042014925373,134,-289974.64614,-65299.55661,297236.1476965425
203,202,-1221.1493076923077,-3052.8019230769232,130,4999.81687,-63487.8275,63684.3969069606
204,203,-2739.016124031008,2508.3948837209305,129,-149529.18709,678.802800000002,149530.72782888977
205,204,-2935.2942857142857,2351.0241071428572,56,15696.9439,13870.07633,20946.91063617195
206,205,-1043.6029257142857,-3397.376685714286,175,-153116.623,42587.120370000004,158928.79871292363
207,206,-1379.7668571428571,-3082.9694285714286,210,-213357.928,62609.3723,222354.53433706542
208,207,-2862.7155737704916,2370.3942622950817,61,-337673.5943,-165335.6497,375977.83624730073
209,208,-2771.975593220339,2426.5749152542376,59,-111890.11791,-48939.5,122124.8260844768
210,209,-1155.7806666666665,-3481.5421666666666,60,-27343.207,582980.649,583621.5281134736
211,210,-2006.6989655172413,-1268.2027586206896,29,-21054.927900000002,38417.501169999996,43808.83911976154
212,211,-1013.5125,-3576.0462903225807,62,136432.6019,216243.555,255685.60761263414
213,212,-1114.5681300813008,-3577.4316260162605,123,301904.45062,398581.9795,500013.89149332885
214,213,-1531.0557823129252,-2722.1131972789117,147,-573859.6738999999,135937.1063,589740.4702051842
215,214,-1441.428125,-2674.2140625,32,-25977.884,-21815.2846,33922.810899105236
216,215,-1286.7531818181817,-3436.193181818182,22,2176.4750000000004,-11536.9012,11740.405986344189
217,216,-1365.4415533980584,-3475.952621359223,103,597008.607,1223155.500128,1361076.2852703952
218,217,-1229.5486597938145,-3532.8390721649484,97,-187354.10760000002,32748.418579999998,190194.69118270173
219,218,-241.17542857142857,-2975.7107142857144,42,18654.2645,41801.82069,45775.25310727263
220,219,-1201.868,-3183.6622857142856,35,-9664.4412,-42439.7159,43526.20945339682
221,220,-1178.6471287128713,-3239.857623762376,101,73143.2738,-40140.00122,83433.55560038998
222,221,-1241.6843307086615,-3334.4649606299213,127,-413627.69806,791937.3479,893449.8506358934
